qPE,fprompt,subeventN,eventTime,numEarlyPulses,fmaxpe,neckVetoN,chargetopring,chargesecondring,chargebottomring,chargesecondbottomring,chargethirdbottomring,pulseindexfirstgar,nSCBayes,rprompt60Bayes,mblikelihoodX,mblikelihoodY,mblikelihoodZ,mblikelihoodR,timefit2X,timefit2Y,timefit2Z,deltat,ar40recoils,multiplerecoils
9155.03,0.480933,2,15001.6,1,0.0198223,0,108.057,132.944,128.993,133.554,147.258,3,8238.74,0.429358,280.454,-475.114,142.167,569.736,-99999,-99999,-99999,1630470000,2,1
613.475,0.312617,1,2473.08,0,0.0200456,0,11.0611,22.2711,4.80678,5.6957,4.2288,0,561.966,0.289075,292.692,-285.315,380.632,558.528,322.865,-292.777,429.424,943589000,0,0
923.895,0.281076,1,2508.65,0,0.139522,0,12.6168,9.79922,18.3844,10.5065,14.4287,9,819.861,0.261372,237.897,-781.694,-32.0723,817.722,227.459,-791.294,-55.445,2295450000,0,0
258.191,0.543822,1,2451.63,0,0.0731055,0,2.52694,5.01842,1.01367,2.23256,7.17253,1,221.98,0.608582,-745.998,126.278,237.46,792.998,-755.026,138.46,233.272,140301000,3,1
19.6556,1,1,2408.51,1,0.629409,0,0,0,0,0,0,4,21.0155,1,-769.951,150.387,327.106,849.964,-764.908,143.537,322.705,0,0,0
30.7415,0.814501,1,2477.09,0,0.830716,0,0,0,0,0,0.955435,256,27.8336,0.944143,-335.014,506.272,-594.838,849.928,-99999,-99999,-99999,1128440000,0,0
732.482,0.260977,1,2454.98,0,0.0667966,0,8.93419,4.42568,16.3697,19.8571,5.94114,1,610.197,0.235424,-608.822,439.728,225.992,784.281,-586.864,454.906,237.112,1356460000,0,0
6007.77,0.278987,1,2424.41,0,0.0539389,0,132.486,90.4273,80.0987,77.3267,77.2701,1,5151.67,0.255787,-560.698,-81.4139,472.491,737.738,-588.597,-87.6014,487.134,136067000,0,0
42378.6,0.275255,1,2539.49,0,0.00717878,0,918.781,1005.86,667.689,723.37,643.198,0,37023.1,0.254113,-182.626,-123.568,144.325,263.536,-255.251,-114.286,285.077,2737210000,0,0
14852.5,0.27694,1,2512,0,0.0645485,0,183.838,171.685,279.433,268.328,266.909,1,12881,0.252352,442.416,420.099,-501.855,789.983,-99999,-99999,-99999,3877540000,0,0
27.1653,0.852469,1,2480,0,0.483692,0,0,1.39958,0,0,2.4062,2,24.2256,0.851154,-489.072,624.515,-305.42,849.995,-463.507,637.884,-291.709,0,0,0
